retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
14,0,0,0.25,0.1310344827586207,0,1
9,0,0,0.25,0.028169014084507043,0,1
10,0,0,0.25,0.07407407407407407,1,1
1,0,0,0.25,0.17791411042944785,0,1
1,3,0,0.25,0.21739130434782608,0,1
0,2,0,0.25,0.08620689655172414,0,1
1,1,0,0.25,0.10526315789473684,1,1
0,0,0,0.25,0.3125,0,1
2,2,0,0.25,0.07692307692307693,0,1
0,1,0,0.25,0.14634146341463414,0,1
679,0,0,0.25,0.20634920634920634,2,1
1,1,0,0.25,0.09523809523809523,0,1
0,0,0,0.25,0.057971014492753624,0,1
0,1,0,0.25,0.06896551724137931,0,1
1,1,0,0.25,0.09523809523809523,0,1
0,1,0,0.25,0.03333333333333333,0,1
2,0,0,0.25,0.046511627906976744,0,1
0,0,0,0.25,0.10638297872340426,0,1
0,1,0,0.25,0.030303030303030304,0,1
0,0,0,0.25,0.1111111111111111,0,1
0,0,0,0.25,0.031746031746031744,0,1
0,2,0,0.25,0.03529411764705882,0,1
0,0,0,0.25,0.11666666666666667,0,1
3,0,0,0.25,0.16216216216216217,0,1
0,1,0,0.25,0.1506849315068493,0,1
1,0,0,0.25,0.05714285714285714,0,1
1,3,0,0.25,0.09615384615384616,0,1
0,2,0,0.25,0.041666666666666664,0,1
0,0,0,0.25,0.07142857142857142,0,1
16,0,0,0.25,0.056338028169014086,0,1
1,1,0,0.25,0.08860759493670886,0,1
2,1,0,0.25,0.07368421052631578,1,1
1,1,0,0.25,0.09230769230769231,2,1
1,1,0,0.25,0.11904761904761904,0,1
2,0,0,0.25,0.09243697478991597,0,1
0,1,0,0.25,0.05555555555555555,0,1
0,0,0,0.25,0.027777777777777776,0,1
1,1,0,0.25,0.07462686567164178,0,1
0,0,0,0.25,0.14285714285714285,0,1
0,7,0,0.25,0.06382978723404255,0,1
34,0,0,0.25,0.13380281690140844,0,1
45434,0,0,0.25,0.34615384615384615,1,1
1,1,0,0.25,0.8636363636363636,0,1
8,0,0,0.25,0.2,0,1
0,1,0,0.25,0.075,0,1
0,0,0,0.25,0.1,0,1
1,1,0,0.25,0.09090909090909091,0,1
