retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
51,0,0,0.62,0.18518518518518517,0,0
51,72,0,0.62,0.11764705882352941,0,0
11,52,0,0.62,0.17647058823529413,0,0
1,12,0,0.62,0.047058823529411764,0,0
22,74,0,0.62,0.07142857142857142,0,0
37,108,0,0.62,0.15,0,0
36,117,0,0.62,0.044444444444444446,0,0
8,43,0,0.62,0.1724137931034483,0,0
13,44,0,0.62,0.07317073170731707,0,0
1,2,0,0.62,0.09523809523809523,0,0
41,85,0,0.62,0.03546099290780142,0,0
25,41,0,0.62,0.08235294117647059,0,0
69,212,0,0.62,0.17857142857142858,0,0
5,34,0,0.62,0.007352941176470588,0,0
18,42,0,0.62,0.1037037037037037,0,0
25,125,0,0.62,0.031746031746031744,0,0
4,27,0,0.62,0.1111111111111111,0,0
17,60,0,0.62,0.13157894736842105,0,0
8,24,0,0.62,0.09420289855072464,0,0
10,29,0,0.62,0.06306306306306306,0,0
176,351,0,0.62,0.16666666666666666,0,0
91,0,0,0.62,0.10526315789473684,0,0
1,18,0,0.62,0.06493506493506493,0,0
18,64,0,0.62,0.0625,0,0
10,33,0,0.62,0.05,0,0
11,40,0,0.62,0.14953271028037382,0,0
27,45,0,0.62,0.23076923076923078,0,0
90,0,0,0.62,0.0703125,0,0
15,52,0,0.62,0.12,0,0
11,36,0,0.62,0.26666666666666666,0,0
10,12,0,0.62,0.15789473684210525,0,0
12,0,0,0.62,0.11382113821138211,0,0
11,37,0,0.62,0.16091954022988506,0,0
9,32,0,0.62,0.10465116279069768,0,0
20,51,0,0.62,0.13636363636363635,0,0
1,13,0,0.62,0.26666666666666666,0,0
13,43,0,0.62,0.09923664122137404,0,0
5,0,0,0.62,0.19148936170212766,0,0
14,55,0,0.62,0.17857142857142858,0,0
40,77,0,0.62,0.12698412698412698,0,0
12,28,0,0.62,0.19753086419753085,0,0
19,0,0,0.62,0.07518796992481203,0,0
17,39,0,0.62,0.16037735849056603,0,0
36,63,0,0.62,0.2261904761904762,0,0
10,26,0,0.62,0.2857142857142857,0,0
13,35,0,0.62,0.15555555555555556,0,0
13,25,0,0.62,0.10606060606060606,0,0
17,27,0,0.62,0.15217391304347827,0,0
17,37,0,0.62,0.16483516483516483,0,0
3,11,0,0.62,0.1349206349206349,0,0
13,30,0,0.62,0.16455696202531644,0,0
257,309,0,0.62,0.12781954887218044,0,0
8,21,0,0.62,0.1188118811881188,0,0
10,8,0,0.62,0.16,0,0
33,54,0,0.62,0.037037037037037035,0,0
40,82,0,0.62,0.14423076923076922,0,0
15,27,0,0.62,0.13186813186813187,0,0
10,20,0,0.62,0.12903225806451613,0,0
14,30,0,0.62,0.10714285714285714,0,0
43,53,0,0.62,0.08620689655172414,0,0
32,66,0,0.62,0.045454545454545456,0,0
4,11,0,0.62,0.06474820143884892,0,0
4,6,0,0.62,0.10526315789473684,0,0
50,62,0,0.62,0.1111111111111111,0,0
14,29,0,0.62,0.11016949152542373,0,0
6,49,0,0.62,0.1111111111111111,0,0
7,18,0,0.62,0.20512820512820512,0,0
3,14,0,0.62,0.15789473684210525,0,0
13,25,0,0.62,0.1111111111111111,0,0
40,0,0,0.62,0.12612612612612611,0,0
16,36,0,0.62,0.2,0,0
602,0,0,0.62,0.056451612903225805,0,0
5,15,0,0.62,0.14444444444444443,0,0
21,35,0,0.62,0.13157894736842105,0,0
1,1,0,0.62,0.043478260869565216,0,0
5,13,0,0.62,0.07272727272727272,0,0
5,13,0,0.62,0.26,1,0
25,62,0,0.62,0.2,0,0
16,24,0,0.62,0.23684210526315788,0,0
15,33,0,0.62,0.15463917525773196,0,0
12,22,0,0.62,0.1079136690647482,0,0
16,29,0,0.62,0.13333333333333333,0,0
18,27,0,0.62,0.1935483870967742,0,0
8,20,0,0.62,0.18823529411764706,0,0
16,46,0,0.62,0.08088235294117647,0,0
6,12,0,0.62,0.11851851851851852,0,0
13,28,0,0.62,0.18518518518518517,0,0
21,34,0,0.62,0.16279069767441862,0,0
10,13,0,0.62,0.07142857142857142,0,0
