retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
14,0,0,0.43,0.09154929577464789,2,0
13,0,0,0.43,0.056338028169014086,0,0
17,0,0,0.43,0.07476635514018691,0,0
7,22,0,0.43,0.021505376344086023,0,0
8,9,0,0.43,0.008695652173913044,1,0
28,49,0,0.43,0.06756756756756757,0,0
20,28,0,0.43,0.03333333333333333,0,0
9,17,0,0.43,0.14285714285714285,0,0
6,4,0,0.43,0.14705882352941177,0,0
6,9,0,0.43,0.018867924528301886,0,0
3,9,0,0.43,0.19642857142857142,0,0
12,31,0,0.43,0.05263157894736842,0,0
14,51,0,0.43,0.05263157894736842,0,0
10,27,0,0.43,0.05982905982905983,0,0
19,38,0,0.43,0.06818181818181818,0,0
9,29,0,0.43,0.05357142857142857,0,0
9,15,0,0.43,0.03333333333333333,0,0
32,0,0,0.43,0.072,0,0
12,16,0,0.43,0.02631578947368421,0,0
8,7,0,0.43,0.03529411764705882,0,0
5,7,0,0.43,0.20512820512820512,0,0
7,1,0,0.43,0.05405405405405406,0,0
19,30,0,0.43,0.0392156862745098,0,0
55,92,0,0.43,0.03571428571428571,0,0
31,58,0,0.43,0.018518518518518517,0,0
11,30,0,0.43,0.01639344262295082,0,0
13,27,0,0.43,0.045454545454545456,0,0
1509,0,0,0.43,0.09154929577464789,0,0
4,21,0,0.43,0.03571428571428571,0,0
10,23,0,0.43,0.05714285714285714,0,0
14,36,0,0.43,0.06818181818181818,0,0
10,19,0,0.43,0.05333333333333334,0,0
24,27,0,0.43,0.0196078431372549,0,0
28,33,0,0.43,0.0547945205479452,0,0
16,41,0,0.43,0.04838709677419355,0,0
11,20,0,0.43,0.047619047619047616,0,0
35,62,0,0.43,0.07894736842105263,0,0
625,0,0,0.43,0.0847457627118644,0,0
5,15,0,0.43,0.06896551724137931,0,0
3,3,0,0.43,0.06896551724137931,0,0
9,14,0,0.43,0.01694915254237288,0,0
9,15,0,0.43,0.03296703296703297,0,0
4,8,0,0.43,0.08,0,0
18,25,0,0.43,0.04,0,0
13,27,0,0.43,0.07142857142857142,0,0
7,10,0,0.43,0.01818181818181818,0,0
5,13,0,0.43,0.0380952380952381,0,0
7,10,0,0.43,0.10256410256410256,0,0
17,24,0,0.43,0.045454545454545456,0,0
7,20,0,0.43,0.06666666666666667,0,0
23,26,0,0.43,0.025,0,0
2,7,0,0.43,0.04285714285714286,0,0
17,26,0,0.43,0.03076923076923077,0,0
2,1,0,0.43,0.06557377049180328,0,0
6,8,0,0.43,0.05357142857142857,0,0
7,10,0,0.43,0.06976744186046512,0,0
10,27,0,0.43,0.039473684210526314,0,0
5,7,0,0.43,0.08163265306122448,0,0
13,34,0,0.43,0.1320754716981132,0,0
10,18,0,0.43,0.03571428571428571,0,0
5,5,0,0.43,0.045454545454545456,0,0
3,1,0,0.43,0.045454545454545456,0,0
15,18,0,0.43,0.07317073170731707,0,0
6,14,0,0.43,0.02040816326530612,0,0
5,11,0,0.43,0.06557377049180328,0,0
3,7,0,0.43,0.04,0,0
16,21,0,0.43,0.04081632653061224,0,0
3,5,0,0.43,0.13333333333333333,0,0
8,22,0,0.43,0.017857142857142856,0,0
38,49,0,0.43,0.08333333333333333,0,0
17,22,0,0.43,0.06,0,0
17,32,0,0.43,0.07142857142857142,0,0
13,27,0,0.43,0.07042253521126761,0,0
7,12,0,0.43,0.11627906976744186,0,0
9,6,0,0.43,0.08,0,0
5,11,0,0.43,0.09375,0,0
7,16,0,0.43,0.1111111111111111,0,0
6,18,0,0.43,0.011111111111111112,0,0
5,15,0,0.43,0.07692307692307693,0,0
21,44,0,0.43,0.06382978723404255,0,0
9,5,0,0.43,0.07894736842105263,0,0
50,85,0,0.43,0.045454545454545456,0,0
12,23,0,0.43,0.05263157894736842,0,0
22,32,0,0.43,0.05128205128205128,0,0
4,11,0,0.43,0.09523809523809523,0,0
22,40,0,0.43,0.05405405405405406,0,0
19,32,0,0.43,0.03278688524590164,0,0
17,23,0,0.43,0.10204081632653061,0,0
6,13,0,0.43,0.11290322580645161,0,0
26,35,0,0.43,0.06896551724137931,0,0
22,37,0,0.43,0.05970149253731343,0,0
12,17,0,0.43,0.05714285714285714,0,0
