id,created_at,retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Tweet,URLs,Fake or Not
972395179679285248,2018-03-10 08:54:11,14,0,0,0.25,0.1310344827586207,0,"RT @officialEIHL: 📊 STANDINGS

Here are the latest standings as we prepare for another big weekend of action.
Today could see Sheffield Ste…",[],1
971330128671330304,2018-03-07 10:22:03,9,0,0,0.25,0.028169014084507043,0,RT @edcapitals: Massively deserved recognition for  fans of the Caps and all those from around the league who recognised the achievement of…,[],1
971330082995400704,2018-03-07 10:21:52,10,0,0,0.25,0.07407407407407407,1,"RT @calyrobo20: Thanks so much to all the fans especially the @EdCapsSC for voting for me, unreal support! 🙌 https://t.co/w9IkD7165B",['https://t.co/w9IkD7165B'],1
970964213693865985,2018-03-06 10:08:02,1,0,0,0.25,0.17791411042944785,0,"RT @officialEIHL: TODAY:
🏆EIHL
🏒 Fife Flyers 🆚 Edinburgh Capitals
🕰 7.30pm
📍Fife Ice Arena
🎟 https://t.co/qryqDD8Et2
🖥 https://t.co/ROXvf1Q…","['https://t.co/qryqDD8Et2', 'https://t.co/ROXvf1Q\xe2\x80\xa6']",1
970713639496896514,2018-03-05 17:32:21,1,3,0,0.25,0.21739130434782608,0,https://t.co/uROcuU5BzN,['https://t.co/uROcuU5BzN'],1
970328354007257088,2018-03-04 16:01:22,0,2,0,0.25,0.08620689655172414,0,Valeyev icing as a defenceman 👀 https://t.co/gLzidINgkO,['https://t.co/gLzidINgkO'],1
968557480476372994,2018-02-27 18:44:32,1,1,0,0.25,0.10526315789473684,1,"What do you think of my Salmon Minestrone @GordonRamsay
Made from your masterclass recipe! https://t.co/SQHtnVoTtH",['https://t.co/SQHtnVoTtH'],1
968170580427067392,2018-02-26 17:07:08,0,0,0,0.25,0.3125,0,Hahahaha https://t.co/ZFQPJJXUhF,['https://t.co/ZFQPJJXUhF'],1
965926305643618304,2018-02-20 12:29:11,2,2,0,0.25,0.07692307692307693,0,"Heavy loss the other night 

https://t.co/8RsJwHvw66",['https://t.co/8RsJwHvw66'],1
965636216896057346,2018-02-19 17:16:29,0,1,0,0.25,0.14634146341463414,0,It's gonna happen https://t.co/sp8FSkERGi,['https://t.co/sp8FSkERGi'],1
965310197290930177,2018-02-18 19:41:00,679,0,0,0.25,0.20634920634920634,2,"RT @NHLFlyers: Congrats, Captain!! 🎉 https://t.co/11SGGHF3aw",['https://t.co/11SGGHF3aw'],1
965307498403106816,2018-02-18 19:30:16,1,1,0,0.25,0.09523809523809523,0,D'Orazio back (again),[],1
965306607914582016,2018-02-18 19:26:44,0,0,0,0.25,0.057971014492753624,0,Welp just as I said it D'Orazio is off again after taking a heavy hit,[],1
965305907298078720,2018-02-18 19:23:57,0,1,0,0.25,0.06896551724137931,0,D'Orazio back out and is okay,[],1
965295627184889857,2018-02-18 18:43:06,1,1,0,0.25,0.09523809523809523,0,Says it all really https://t.co/pbuOokYc8N,['https://t.co/pbuOokYc8N'],1
965291852277665792,2018-02-18 18:28:06,0,1,0,0.25,0.03333333333333333,0,"4-0 Cardiff, it's getting ugly",[],1
965289743847186433,2018-02-18 18:19:43,2,0,0,0.25,0.046511627906976744,0,"2-0 Cardiff, really missing Beskorowany now",[],1
965289476128944128,2018-02-18 18:18:39,0,0,0,0.25,0.10638297872340426,0,They've put A.Robertson-Podzins-Moisio together,[],1
965289058997096449,2018-02-18 18:17:00,0,1,0,0.25,0.030303030303030304,0,"Barrage of chances for the Caps after Cardiff score their goal, showing real creative passing there",[],1
965287467082493958,2018-02-18 18:10:40,0,0,0,0.25,0.1111111111111111,0,*Forshall,[],1
