id,created_at,retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Tweet,URLs,Fake or Not
972120312123920384,2018-03-09 14:41:58,14,0,0,0.43,0.09154929577464789,2,"RT @WarrenHolstein: Kim Jong Un: You’re a mentally deranged U.S. dotard!

Trump: We should totally hang out! Do you like steak with ketchup?",[],0
972120291378909191,2018-03-09 14:41:53,13,0,0,0.43,0.056338028169014086,0,"RT @WarrenHolstein: The State Department is understaffed and in shambles and our President is unknowledgeable, unprepared, oversensitive, i…",[],0
970459622745223169,2018-03-05 00:42:58,17,0,0,0.43,0.07476635514018691,0,RT @WarrenHolstein: Thanks to “The Shape of Water” for finally taking the stigma out of fucking a fish.,[],0
968892800883445760,2018-02-28 16:56:59,7,22,0,0.43,0.021505376344086023,0,"Jared Kushner top secret security clearance downgraded to ‘pssst, did you hear about....’",[],0
966676844610248705,2018-02-22 14:11:34,8,9,0,0.43,0.008695652173913044,1,"Your gym teacher tells you if you don’t do 10 more pushups ‘you’ll get a face full of fucking lead, fatso!’",[],0
966671991708311553,2018-02-22 13:52:17,28,49,0,0.43,0.06756756756756757,0,"Marco Rubio stands up to NRA, says he will now spit instead of swallowing.",[],0
946748062164307969,2017-12-29 14:21:42,20,28,0,0.43,0.03333333333333333,0,"Donald Trump denies moon landing real, claims Swiss cheese would have melted from rockets.",[],0
928813472359514112,2017-11-10 02:36:02,9,17,0,0.43,0.14285714285714285,0,GOP greenlights ‘To Elect a Predator.’,[],0
928784281631186949,2017-11-10 00:40:03,6,4,0,0.43,0.14705882352941177,0,GOP to sponsor Jailbait Amendment.,[],0
928777540096929792,2017-11-10 00:13:16,6,9,0,0.43,0.018867924528301886,0,Gallagher accused of assaulting multiple watermelons.,[],0
926441573323337728,2017-11-03 13:30:58,3,9,0,0.43,0.19642857142857142,0,"CAA drops Kevin Spacey, NAMBLA adds him to their roster.",[],0
925696587740966917,2017-11-01 12:10:39,12,31,0,0.43,0.05263157894736842,0,Donald Trump responds to terrorist attack in New York with massive erection.,[],0
920075904583458816,2017-10-16 23:56:04,14,51,0,0.43,0.05263157894736842,0,"Mike Pence's pool boy tweets ""me too.""",[],0
918215743937892352,2017-10-11 20:44:27,10,27,0,0.43,0.05982905982905983,0,Mike Pence spends National Coming Out day in a Porta Potty crying while rocking back and forth in the fetal position.,[],0
914125178740887552,2017-09-30 13:50:00,19,38,0,0.43,0.06818181818181818,0,Trump tells Puerto Rico to 'go suck a dick.',[],0
913720635725107201,2017-09-29 11:02:30,9,29,0,0.43,0.05357142857142857,0,Puerto Rican dudes who voted for Trump feeling estupido.,[],0
913405582987669504,2017-09-28 14:10:35,9,15,0,0.43,0.03333333333333333,0,Hugh Hefner finds out heaven isn't massive pair of implants.,[],0
913387058223357952,2017-09-28 12:56:59,32,0,0,0.43,0.072,0,"RT @WarrenHolstein: If I wanted to be exposed to 280 characters on a regular basis, I'd reread all the Game of Thrones books.",[],0
911586049410961409,2017-09-23 13:40:25,12,16,0,0.43,0.02631578947368421,0,Trump demands Colin Kaepernick 'shut his dirty mulatto mouth and get back to picking cotton for his white massas.',[],0
911574810559438848,2017-09-23 12:55:45,8,7,0,0.43,0.03529411764705882,0,Betsy DeVos says 'maybe your daughter shouldn't have been dressed like such a whore.',[],0
910491686282973185,2017-09-20 13:11:48,5,7,0,0.43,0.20512820512820512,0,GOP announces new HeathIDon'tCare Bill.,[],0
907224091643580416,2017-09-11 12:47:33,7,1,0,0.43,0.05405405405405406,0,Trump spends 9/11 high-fiving Saudis.,[],0
902202609888628738,2017-08-28 16:13:58,19,30,0,0.43,0.0392156862745098,0,Trump furious Harvey stealing all of his attention.,[],0
899811111838658561,2017-08-22 01:51:01,55,92,0,0.43,0.03571428571428571,0,Breaking: Donald Trump reads some bullshit off a teleprompter he doesn't understand.,[],0
899728652610523140,2017-08-21 20:23:21,31,58,0,0.43,0.018518518518518517,0,"Trump stares directly into sun, still not color blind.",[],0
893485277670383616,2017-08-04 14:54:25,11,30,0,0.43,0.01639344262295082,0,Trump transitions from working vacation to vacation vacation.,[],0
893063820884750336,2017-08-03 10:59:41,13,27,0,0.43,0.045454545454545456,0,Chris Christie proves not all fat men jolly.,[],0
892842189704884225,2017-08-02 20:19:00,1509,0,0,0.43,0.09154929577464789,0,"RT @WarrenHolstein: Excerpt from Stephen Miller's New Statue of Liberty Poem:
""Give me your white, your white,
Your huddled whites yearning…",[],0
892760693723848704,2017-08-02 14:55:10,4,21,0,0.43,0.03571428571428571,0,"Trump signs Russian sanctions bill, Putin announces worldwide pee tape release date.",[],0
890721634205790208,2017-07-27 23:52:41,10,23,0,0.43,0.05714285714285714,0,Steve Bannon's cock pleads the 5th.,[],0
884362766131249152,2017-07-10 10:44:48,14,36,0,0.43,0.06818181818181818,0,Donald Trump Jr. way dumber than we thought.,[],0
883680999820976128,2017-07-08 13:35:43,10,19,0,0.43,0.05333333333333334,0,Entitled blonde with big fake titties steps in for President at G20 Summit.,[],0
879675337222868993,2017-06-27 12:18:38,24,27,0,0.43,0.0196078431372549,0,Senate healthcare bill tells poor to 'suck a dick.',[],0
877866871357362176,2017-06-22 12:32:26,28,33,0,0.43,0.0547945205479452,0,New GOP healthcare bill just a piece of paper with a middle finger on it.,[],0
874625741845139458,2017-06-13 13:53:21,16,41,0,0.43,0.04838709677419355,0,Jeff Sessions bribes Senate with cookies he baked in his tree.,[],0
872863922336006149,2017-06-08 17:12:30,11,20,0,0.43,0.047619047619047616,0,Donald Trump holds breath and stomps feet.,[],0
870449669389856772,2017-06-02 01:19:08,35,62,0,0.43,0.07894736842105263,0,Trump grabs Mother Earth by the pussy.,[],0
870414441518686208,2017-06-01 22:59:09,625,0,0,0.43,0.0847457627118644,0,RT @WarrenHolstein: Maybe more Republicans would believe in Climate Change if we'd refer to it as the Weather Rapture.,[],0
870271603707457536,2017-06-01 13:31:33,5,15,0,0.43,0.06896551724137931,0,Megyn Kelly to jerk off Vladimir Putin on live television.,[],0
869938255977959427,2017-05-31 15:26:57,3,3,0,0.43,0.06896551724137931,0,Trump to remake 'Waterworld.',[],0
869017900627234817,2017-05-29 02:29:47,9,14,0,0.43,0.01694915254237288,0,New study says at least 1 out of every 4 of your male friends are jerking off to bikini photos you posted on Facebook.,[],0
868521666997096449,2017-05-27 17:37:56,9,15,0,0.43,0.03296703296703297,0,Jared reluctantly agrees to let Trump have 'secret backchannel communications' with Ivanka.,[],0
868359513295998976,2017-05-27 06:53:35,4,8,0,0.43,0.08,0,Jared Kushner tosses live grenade in own War Room.,[],0
867336847441227776,2017-05-24 11:09:53,18,25,0,0.43,0.04,0,"Trump visits Pope's cathedral, bursts into flames.",[],0
864667152737083392,2017-05-17 02:21:28,13,27,0,0.43,0.07142857142857142,0,Shit hits fan.,[],0
864094278867443713,2017-05-15 12:25:04,7,10,0,0.43,0.01818181818181818,0,Millions return to referring to mother as 'that bitch.',[],0
863933727038201857,2017-05-15 01:47:06,5,13,0,0.43,0.0380952380952381,0,Melania Trump treats herself for Mother's Day by cauterizing her remaining ovaries with a soldering iron.,[],0
863743035464613888,2017-05-14 13:09:21,7,10,0,0.43,0.10256410256410256,0,Trump wishes Ivanka Happy Mother's Day by offering to play 'Who's Your Daddy.',[],0
862084315450159104,2017-05-09 23:18:12,17,24,0,0.43,0.045454545454545456,0,Trump fires democracy.,[],0
861425762901032960,2017-05-08 03:41:21,7,20,0,0.43,0.06666666666666667,0,France swipes right on Macron.,[],0
859540084651155456,2017-05-02 22:48:20,23,26,0,0.43,0.025,0,Trump meeting with Satan to discuss replacing brimstone with clean-burning coal.,[],0
858027016871972866,2017-04-28 18:35:56,2,7,0,0.43,0.04285714285714286,0,Trump blames Obama for driving him into Putin's warm paternal embrace.,[],0
857059194742206469,2017-04-26 02:30:10,17,26,0,0.43,0.03076923076923077,0,Only wall Trump ends up building is between himself and humanity.,[],0
854693771560325121,2017-04-19 13:50:49,2,1,0,0.43,0.06557377049180328,0,Michael Hutchence offers Aaron Hernandez deepest condolences.,[],0
854691667072483328,2017-04-19 13:42:27,6,8,0,0.43,0.05357142857142857,0,Creepy tan mannequin sues Mike Pence for identity theft.,[],0
852489411912761346,2017-04-13 11:51:28,7,10,0,0.43,0.06976744186046512,0,President Trump lays fresh eggs for Easter.,[],0
