id,created_at,retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Tweet,URLs,Fake or Not
968681836078608385,2018-02-28 02:58:41,37065,235352,1,0.57,0.04225352112676056,0,"I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want… https://t.co/1ammpZayJx",['https://t.co/1ammpZayJx'],1
966704319658647553,2018-02-22 16:00:44,451711,1643030,1,0.57,0.04929577464788732,0,"Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless stu… https://t.co/wXO3wBtJ8V",['https://t.co/wXO3wBtJ8V'],1
966350067287363584,2018-02-21 16:33:04,35295,256802,1,0.57,0.06338028169014084,0,"Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance t… https://t.co/V8WtgIRPEB",['https://t.co/V8WtgIRPEB'],1
964185606803853314,2018-02-15 17:12:17,383127,1326219,1,0.57,0.07746478873239436,0,We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can hon… https://t.co/LWGSkzRapH,['https://t.co/LWGSkzRapH'],1
963811333685817346,2018-02-14 16:25:03,245534,1523380,1,0.57,0.08411214953271028,0,"Happy Valentine’s Day, @MichelleObama. You make every day and every place better. https://t.co/aWvyytR7Mm",['https://t.co/aWvyytR7Mm'],1
963811162482728961,2018-02-14 16:24:22,26791,0,1,0.57,0.08904109589041095,0,"RT @MichelleObama: Happy #ValentinesDay to my one and only, @BarackObama. To celebrate the occasion, I’m dedicating a little Valentine’s Da…",[],1
952914779458424832,2018-01-15 14:46:02,377271,1468551,1,0.57,0.04929577464788732,0,"Dr. King was 26 when the Montgomery bus boycott began. He started small, rallying others who believed their efforts… https://t.co/N0zwBg7gTi",['https://t.co/N0zwBg7gTi'],1
946775615893655552,2017-12-29 16:11:11,116473,505704,1,0.57,0.056338028169014086,0,"All across America people chose to get involved, get engaged and stand up. Each of us can make a difference, and al… https://t.co/zxpKVnNeHZ",['https://t.co/zxpKVnNeHZ'],1
946775467536928768,2017-12-29 16:10:36,49412,308452,1,0.57,0.04929577464788732,0,"Ten-year-old Jahkil Jackson is on a mission to help homeless people in Chicago. He created kits full of socks, toil… https://t.co/7mNk6dmnyC",['https://t.co/7mNk6dmnyC'],1
946775332564230144,2017-12-29 16:10:04,67724,269999,1,0.57,0.07042253521126761,0,"Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville, V… https://t.co/KxUk5Wle6h",['https://t.co/KxUk5Wle6h'],1
946775194101800960,2017-12-29 16:09:31,23938,155882,1,0.57,0.09154929577464789,0,"Kat Creech, a wedding planner in Houston, turned a postponed wedding into a volunteer opportunity for Hurricane Har… https://t.co/MCXiSuAVJN",['https://t.co/MCXiSuAVJN'],1
946775081371471872,2017-12-29 16:09:04,178711,786718,1,0.57,0.04195804195804196,0,"As we count down to the new year, we get to reflect and prepare for what’s ahead. For all the bad news that seemed… https://t.co/WaUHkVww2g",['https://t.co/WaUHkVww2g'],1
946124244328550400,2017-12-27 21:02:52,7132,0,1,0.57,0.11486486486486487,0,"RT @MBK_Alliance: I am my Brother’s Keeper. 
Watch our new PSA with @BarackObama, @StephenCurry30 &amp; @chancetherapper, then take action to s…",[],1
945324527520804866,2017-12-25 16:05:05,254311,1479376,1,0.57,0.09322033898305085,1,"On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",['https://t.co/CNFUZrhrBj'],1
941437447296225280,2017-12-14 22:39:13,60199,416143,1,0.57,0.028169014084507043,0,There's no better time than the holiday season to reach out and give back to our communities. Great to hear from yo… https://t.co/gp5dCy9oN2,['https://t.co/gp5dCy9oN2'],1
940737366255423488,2017-12-13 00:17:20,85472,692708,1,0.57,0.06944444444444445,1,"Happy Hanukkah, everybody, from the Obama family to yours. Chag Sameach!",[],1
940314364460060673,2017-12-11 20:16:29,87626,226938,1,0.57,0.056338028169014086,0,Just got off a call to thank folks who are working hard to help more Americans across the country sign up for healt… https://t.co/A9QvCySWJ8,['https://t.co/A9QvCySWJ8'],1
937818240453095424,2017-12-04 22:57:47,6680,0,1,0.57,0.08450704225352113,0,RT @ObamaFoundation: Watch: We hosted a Town Hall in New Delhi with @BarackObama and young leaders about how to drive change and make an im…,[],1
935255366438408192,2017-11-27 21:13:50,115424,1163658,1,0.57,0.08450704225352113,0,Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a life… https://t.co/KC9nmjZPuX,['https://t.co/KC9nmjZPuX'],1
933707825821421568,2017-11-23 14:44:27,215303,1388689,1,0.57,0.06956521739130435,0,"From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude. https://t.co/xAvSQwjQkz",['https://t.co/xAvSQwjQkz'],1
932685522820042754,2017-11-20 19:02:11,506152,2016198,1,0.57,0.2,1,"ME:  Joe, about halfway through the speech, I’m gonna wish you a happy birth--
BIDEN:  IT’S MY BIRTHDAY!
ME:  Joe.… https://t.co/5qLUsDoaMi",['https://t.co/5qLUsDoaMi'],1
929366549009502208,2017-11-11 15:13:46,8910,0,1,0.57,0.07746478873239436,0,"RT @ObamaFoundation: Today, we honor those who have honored our country with its highest form of service. https://t.co/IbJNCwIofL https://t…","['https://t.co/IbJNCwIofL', 'https://t\xe2\x80\xa6']",1
928252100081078272,2017-11-08 13:25:21,73505,430911,1,0.57,0.11971830985915492,0,This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all th… https://t.co/ZvUKZIDGAj,['https://t.co/ZvUKZIDGAj'],1
927702713298759680,2017-11-07 01:02:17,58343,193375,1,0.57,0.02830188679245283,1,Every election matters - those who show up determine our future. Go vote tomorrow! https://t.co/j1wh8hLamw,['https://t.co/j1wh8hLamw'],1
927337619406643200,2017-11-06 00:51:32,117644,508801,1,0.57,0.015625,0,May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.,[],1
927337524808347648,2017-11-06 00:51:09,96971,548383,1,0.57,0.02158273381294964,0,"We grieve with all the families in Sutherland Springs harmed by this act of hatred, and we’ll stand with the survivors as they recover...",[],1
925710762894680064,2017-11-01 13:06:59,136935,257039,1,0.57,0.06338028169014084,0,"Starting today, you can sign up for 2018 health coverage. Head on over to https://t.co/ob1Ynoesod and find a plan t… https://t.co/6eN1Y5TQGV","['https://t.co/ob1Ynoesod', 'https://t.co/6eN1Y5TQGV']",1
925526988659548160,2017-11-01 00:56:44,103652,706526,1,0.57,0.050724637681159424,0,Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come.,[],1
925114135548919808,2017-10-30 21:36:12,21515,180705,1,0.57,0.06611570247933884,1,"Hello, #ObamaSummit! Thrilled to host civic leaders in Chicago from all over the world. Follow along at @ObamaFoundation.",[],1
922584337815613441,2017-10-23 22:03:41,54684,309987,1,0.57,0.02877697841726619,0,"I’ll let you and @ladygaga handle the singing, and we’ll handle the donations. There’s still time to give:… https://t.co/0NnaR3bozh",['https://t.co/0NnaR3bozh'],1
921889369337860096,2017-10-22 00:02:08,83456,504033,1,0.57,0.056338028169014086,0,Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this ye… https://t.co/nFSou6JC6n,['https://t.co/nFSou6JC6n'],1
920061541986250758,2017-10-16 22:59:00,92107,676778,1,0.57,0.06569343065693431,0,"I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal.",[],1
914832655170011137,2017-10-02 12:41:16,398327,1706441,1,0.57,0.03424657534246575,0,Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy.,[],1
913952069765271559,2017-09-30 02:22:08,60733,508729,1,0.57,0.08029197080291971,0,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. https://t.co/WBzcltmgqj,['https://t.co/WBzcltmgqj'],1
912724426709504000,2017-09-26 17:03:55,113133,336543,1,0.57,0.0821917808219178,0,"We're expanding our efforts to help Puerto Rico &amp; the USVI, where our fellow Americans need us right now. Join us a… https://t.co/gkrp1RwXR4",['https://t.co/gkrp1RwXR4'],1
912460861758955523,2017-09-25 23:36:36,58270,329695,1,0.57,0.04964539007092199,0,"Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testament… https://t.co/XDtkLu32wd",['https://t.co/XDtkLu32wd'],1
910542207991590917,2017-09-20 16:32:34,2778,0,1,0.57,0.125,0,RT @gatesfoundation: President @BarackObama addresses #Goalkeepers17 starting at 12:40 PM. Tune in here: https://t.co/XmHBErSHYw,['https://t.co/XmHBErSHYw'],1
910330388219916290,2017-09-20 02:30:52,441539,1490500,1,0.57,0.038461538461538464,0,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.,[],1
909871642423197696,2017-09-18 20:07:58,31475,152656,1,0.57,0.034722222222222224,0,"Coding is important – and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, g… https://t.co/xwlnvxsjKb",['https://t.co/xwlnvxsjKb'],1
907969359695491072,2017-09-13 14:08:59,65170,263925,1,0.57,0.06338028169014084,0,Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're gettin… https://t.co/xY0UhBSvqp,['https://t.co/xY0UhBSvqp'],1
907265689832103936,2017-09-11 15:32:51,344807,1372574,1,0.57,0.014814814814814815,0,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.,[],1
906909155918786561,2017-09-10 15:56:06,6665,0,1,0.57,0.09154929577464789,0,"RT @GeorgeHWBush: Across the U.S., Americans have answered the call to help with hurricane recovery. Praying for all Floridians. #Irma http…",[],1
906269510231056385,2017-09-08 21:34:23,31406,238399,1,0.57,0.06451612903225806,0,Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future. https://t.co/nqYC1mjjTB,['https://t.co/nqYC1mjjTB'],1
905930380783620097,2017-09-07 23:06:48,100667,335153,1,0.57,0.08641975308641975,0,Americans always answer the call. https://t.co/SV1jixOExu https://t.co/ktEvL6s89d,"['https://t.co/SV1jixOExu', 'https://t.co/ktEvL6s89d']",1
905141484386750469,2017-09-05 18:52:01,384077,923780,1,0.57,0.044444444444444446,0,"To target hopeful young strivers who grew up here is wrong, because they’ve done nothing wrong. My statement: https://t.co/TCxZdld7L4",['https://t.co/TCxZdld7L4'],1
901946021437206528,2017-08-27 23:14:23,245066,833987,1,0.57,0.06338028169014084,0,Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one… https://t.co/I3RHWyZe31,['https://t.co/I3RHWyZe31'],1
898261944095789056,2017-08-17 19:15:11,318524,1616436,1,0.57,0.04285714285714286,0,Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.,[],1
896523357272911872,2017-08-13 00:06:39,411223,1409835,1,0.57,0.033707865168539325,0,"""...For love comes more naturally to the human heart than its opposite."" - Nelson Mandela",[],1
896523304873238528,2017-08-13 00:06:27,497181,1580645,1,0.57,0.011235955056179775,0,"""People must learn to hate, and if they can learn to hate, they can be taught to love...""",[],1
896523232098078720,2017-08-13 00:06:09,1713590,4596484,1,0.57,0.030303030303030304,0,"""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/InZ58zkoAm",['https://t.co/InZ58zkoAm'],1
887836712822558720,2017-07-20 00:49:02,412482,2088472,1,0.57,0.05555555555555555,0,"John McCain is an American hero &amp; one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John.",[],1
877974755592228868,2017-06-22 19:41:08,131205,444905,1,0.57,0.038461538461538464,0,Health care has always been about something bigger than politics: it's about the character of our country. https://t.co/UqLO14Hef7,['https://t.co/UqLO14Hef7'],1
876456804305252353,2017-06-18 15:09:20,255059,1363097,1,0.57,0.07746478873239436,0,"Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad… https://t.co/XSqMhcSuvR",['https://t.co/XSqMhcSuvR'],1
870695481290117120,2017-06-02 17:35:54,72534,391511,1,0.57,0.056338028169014086,0,"On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun viole… https://t.co/S7dth6Ywb0",['https://t.co/S7dth6Ywb0'],1
869178832082874369,2017-05-29 13:09:16,131545,705685,1,0.57,0.04225352112676056,0,Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we… https://t.co/BwRS0onlOL,['https://t.co/BwRS0onlOL'],1
868455601663332353,2017-05-27 13:15:25,75266,496685,1,0.57,0.05517241379310345,0,Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victims… https://t.co/f1U8It8AmE,['https://t.co/f1U8It8AmE'],1
867745464329883648,2017-05-25 14:13:35,43214,220294,1,0.57,0.03424657534246575,0,"Through faith, love, and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayer… https://t.co/xyMer891Zo",['https://t.co/xyMer891Zo'],1
867061620027076608,2017-05-23 16:56:14,222283,1038587,1,0.57,0.03676470588235294,0,Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.,[],1
866764702600359937,2017-05-22 21:16:23,10049,84322,1,0.57,0.07092198581560284,0,"Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you in… https://t.co/bF1kB1GvxC",['https://t.co/bF1kB1GvxC'],1
863756100948156416,2017-05-14 14:01:16,112351,736004,1,0.57,0.038461538461538464,0,"Happy Mother's Day to my love and partner on this journey @MichelleObama, and to all the wonderful, hardworking mothers out there.",[],1
859855649689174019,2017-05-03 19:42:16,24114,123034,1,0.57,0.11475409836065574,0,"We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. https://t.co/UlyvNrQvZR","['https://t.co/GYkEOK8EuT.', 'https://t.co/UlyvNrQvZR']",1
859457313232605184,2017-05-02 17:19:26,130102,506164,1,0.57,0.08450704225352113,0,"Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Bil… https://t.co/jB3LXT94Ok",['https://t.co/jB3LXT94Ok'],1
856595671796895745,2017-04-24 19:48:17,12110,0,1,0.57,0.10465116279069768,0,RT @ObamaFoundation: It’s a beautiful day on the South Side. https://t.co/PtoaFbww0s,['https://t.co/PtoaFbww0s'],1
844896595179180034,2017-03-23 13:00:20,144058,817890,1,0.57,0.028985507246376812,0,My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.,[],1
843490091519623169,2017-03-19 15:51:23,67555,405101,1,0.57,0.03875968992248062,0,"Chuck Berry rolled over everyone who came before him – and turned up everyone who came after.  We'll miss you, Chuck.  Be good.",[],1
